buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount
1,"HÔTEL DE VILLE DE MONTRÉAL","275 Rue  Notre-Dame E, Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","VILLE-MARIE",1878,22813.51,3612.19,20009,5,2,6
2,"EDIFICE GOSFORD COUR MUNICIPALE","775 Rue  Gosford , Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","VILLE-MARIE",1913,25394.6,2969.31,22394.3,8,2,12
5,"MARCHE BONSECOURS","330 Rue  Saint-Paul E, Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Local commercial","VILLE-MARIE",1847,16221.22,3163.23,11278.82,4,3,2
6,"VESPASIENNE","3425 Avenue  Émile-Duployé , Montréal","PROPRIÉTAIRE","Bâtiment vacant","Loisir communautaire","Abri fermé","PLATEAU MONT-ROYAL",1931,147.55,73.99,116.97,1,1,0
12,"ÉDIFICE LUCIEN-SAULNIER","155 Rue  Notre-Dame E, Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","VILLE-MARIE",1857,14218.37,2922.54,12593.18,6,1,4
13,"VESPASIENNE (EX) PLACE D'ARMES","504 Place d' Armes , Montréal","PROPRIÉTAIRE","Bâtiment","Commercial","Marché public","VILLE-MARIE",1981,9,,9,,1,0
14,"TUNNEL À PIETONS, MÉTRO CHAMP-DE-MARS","Rue  Gosford , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Tunnel","VILLE-MARIE",1975,1501.09,357.35,1287.9,1,1,4
18,"PAVILLON DES BAIGNEURS DON-BOSCO","12600 Avenue  Rita-Levi-Montalcini , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","R-D-P / P-A-T",1974,782.6,391.7,729.39,1,1,0
19,"THÉÂTRE EMPRESS (CINÉMA V)","5550 Rue  Sherbrooke O, Montréal","PROPRIÉTAIRE","Bâtiment vacant","Culturel","Théâtre","COTE-DES-NEIGES / N-D-DE-GRACE",1928,5852.89,1,2909.02,1,,
21,"MUSÉE POINTE-À-CALLIÈRE-MAISON DOUANE","150 Rue  Saint-Paul O, Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Lieu d'exposition","VILLE-MARIE",1838,1771.01,434.6,1490.74,2,2,
